time;open;high;low;close
"2023-02-20 05:00:00";24336.6233404821;25126.851685722;22861.5586648141;23561.2129109163
"2023-02-27 05:00:00";23561.4506815245;23880.6324628676;22198.9810093926;22435.5141969735
"2023-03-06 05:00:00";22436.8167758974;22584.2938087023;19628.2543094205;22163.949951915
"2023-03-13 05:00:00";22156.4066753221;28440.5612172583;21918.19993089;28038.6749467651
"2023-03-20 05:00:00";28041.6019174942;28803.3359206694;26759.9962331222;27994.3295142227
"2023-03-27 05:00:00";27994.0679232525;29159.9026178662;26606.6890011395;28199.3083837745
"2023-04-03 05:00:00";28183.0803582438;28739.2381106536;27276.7199488097;28333.0500476249
"2023-04-10 05:00:00";28336.0282374011;31005.6080444729;28189.2707713694;30315.3554561203
"2023-04-17 05:00:00";30317.1456974152;30470.3020147381;27169.5711204099;27591.3846319068
"2023-04-24 05:00:00";27591.7295218905;29995.8384911174;27070.8494995525;29268.8070431626
"2023-05-01 05:00:00";29227.1039819099;29820.1266220765;27680.7926396911;28454.9782855135
"2023-05-08 05:00:00";28450.4574779637;28663.2723318452;25878.428829536;26930.6378455643
"2023-05-15 05:00:00";26931.3846319054;27646.3481186699;26415.1014830457;26753.8256390547
"2023-05-22 05:00:00";26749.8932054031;28193.448532831;25890.5944753459;28085.6473607492
"2023-05-29 05:00:00";28075.5921411669;28432.0387169709;26574.6444212308;27119.0671931263
"2023-06-05 05:00:00";27123.1099638092;27332.1809565185;25434.8671315473;25940.1680803434
"2023-06-12 05:00:00";25934.2855973595;26769.3945019205;24797.1678486154;26336.213003281
"2023-06-19 05:00:00";26335.4423696201;31389.5381281357;26312.8318076296;30480.2616057375
"2023-06-26 05:00:00";30480.523973069;31256.8626995544;29600.2759394191;30620.7702634481
"2023-07-03 05:00:00";30624.5163112716;31460.053612688;29777.2844100844;30171.2335717583
"2023-07-10 05:00:00";30172.4229553721;31814.5148120678;29966.3871365008;30249.1328102967
"2023-07-17 05:00:00";30249.626617143;30336.4001335;29556.428372971;30084.5392407563
"2023-07-24 05:00:00";30081.6616445789;30093.3942473004;28934.2941602457;29275.307946897
"2023-07-31 05:00:00";29278.3140543721;29987.9971121967;28657.0238197426;29041.8561709403
"2023-08-07 05:00:00";29038.5128459431;30176.7962374838;28724.1405310678;29282.9143793982
"2023-08-14 05:00:00";29283.262942771;29660.2543392724;25409.1116027686;26189.5846686604
"2023-08-21 05:00:00";26188.6906508187;26786.8976054909;25520.728490709;26089.6934716635
"2023-08-28 05:00:00";26089.6149228858;28089.3380271543;25362.6091281569;25969.5673526316
"2023-09-04 05:00:00";25968.1701334655;26414.005974773;25404.3596799132;25832.2262469114
"2023-09-11 05:00:00";25831.7155007322;26840.4979252215;24930.2974941684;26534.18751685
"2023-09-18 05:00:00";26532.9947937991;27488.7638021952;26221.050004588;26256.8257867445
"2023-09-25 05:00:00";26253.7752994376;28047.2377100269;26011.4696157754;27983.7503817847
"2023-10-02 05:00:00";27976.7991520291;28494.4596384314;27215.5524462077;27935.0895806612
"2023-10-09 05:00:00";27934.4721623395;27989.4709019697;26558.320783999;27159.6529187802
"2023-10-16 05:00:00";27162.6282288816;30287.4816486504;27130.4734781668;29993.896524372
"2023-10-23 05:00:00";30140.6848629718;35150.4334987547;30097.8287422783;34538.4820881103
"2023-10-30 05:00:00";34531.7413739892;35919.8436017766;34083.3094592027;35049.3559240236
"2023-11-06 05:00:00";35044.7899191289;37926.2567969959;34545.8150953191;37054.5201429095
"2023-11-13 05:00:00";37070.3058713039;37964.8928323147;34948.5002761446;37386.547774872
"2023-11-20 05:00:00";37374.0746847021;38415.3381982376;35670.9718775193;37479.1222936619
"2023-11-27 05:00:00";37454.1919552581;40135.6048969089;36750.127104535;39978.3918165449
"2023-12-04 05:00:00";39978.6286477951;44705.5150094178;39978.6286477951;43779.6972879957
"2023-12-11 05:00:00";43792.0178583651;43808.3730556685;40234.5783345331;41364.665918237
"2023-12-18 05:00:00";41348.2020891569;44367.9557717841;40530.2585192877;43016.1176211831
"2023-12-25 05:00:00";43010.5729205333;43804.7814175761;41424.0606411494;42265.185654866
"2024-01-01 05:00:00";42280.2352761923;45899.7063545898;40813.5348681668;43943.0972289695
"2024-01-08 05:00:00";43948.7069553091;48969.3713995297;41724.6137245906;41796.2696064245
"2024-01-15 05:00:00";41715.0665274581;43566.2749235186;40297.4578577579;41545.7835143902
